trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.72949336394427,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999862922474267}",25,0,-132.73182348990147,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999451693655121}",20,0,-75.41387057612471,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9998766324816606}",20,0,-4.04624643325173,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9997806834748455}",25,0,-48.481471808321785,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9996573249755573}",30,0,-140.17483795780592,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9995065603657316}",25,0,-122.66848711030796,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9993283937786562}",25,12,-128.53183288166372,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9991228300988584}",35,13,-73.26731947489576,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.99888987496197}",25,0,-80.89208295268338,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9986295347545738}",25,0,-115.34886791065183,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9983418166140283}",20,0,-68.39360883325224,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9980267284282716}",20,0,-60.02971584077841,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9976842788356053}",20,0,-30.650549533885815,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9973144772244581}",30,0,-181.11600495016427,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.996917333733128}",20,0,-208.25276996372017,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9964928592495044}",20,0,-71.84490595811019,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9960410654107695}",30,5,-44.10785815014888,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.99556196460308}",25,0,-94.05097594577205,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9950555699612263}",30,0,-173.44710229540598,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9945218953682733}",20,0,-84.80588565436346,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
