trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-161.2403589947558,"{0: 19, 1: 2, 2: 13, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.02869529025295,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.09062453988392,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.466513417232765,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.616216389283,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.7080628432875,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.87096683660138,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.10477636683086,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.9444610361095,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,4,-36.983694083220385,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.44695583996113,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.82138809252228,"{0: 18, 1: 3, 2: 11, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,13,5.895592426269458,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.70306064050256,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.06124751884916,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.02782544733181,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.23166953947108,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.08437446365413,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.8407880222461,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.76785717736757,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.75874292191024,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.90514459006755,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.3304474322131,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.37745374993457,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.8060812691477,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.9163893500999,"{0: 14, 1: 4, 2: 2, 3: 4, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.91821721539921,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,7,-46.57827920809341,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-321.0914253082785,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-301.49880850317277,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 6}",0
